GEOHASH,LAT1,LONG1,LAT2,LONG2,LAT3,LONG3,LAT4,LONG4,COUNT
dnzeen,38.6169433594,-79.3103027344,38.6169433594,-79.3212890625,38.6224365234,-79.3103027344,38.6224365234,-79.3212890625,1
dnzhdy,38.7927246094,-80.0244140625,38.7927246094,-80.0354003906,38.7982177734,-80.0244140625,38.7982177734,-80.0354003906,1
dnzhhj,38.6993408203,-79.9694824219,38.6993408203,-79.98046875,38.7048339844,-79.9694824219,38.7048339844,-79.98046875,1
dnzhkm,38.7432861328,-79.9584960938,38.7432861328,-79.9694824219,38.7487792969,-79.9584960938,38.7487792969,-79.9694824219,1
dnzhtt,38.7872314453,-79.9035644531,38.7872314453,-79.9145507812,38.7927246094,-79.9035644531,38.7927246094,-79.9145507812,1
dnzhy0,38.8037109375,-79.8815917969,38.8037109375,-79.892578125,38.8092041016,-79.8815917969,38.8092041016,-79.892578125,1
dnyvt8,38.935546875,-80.2551269531,38.935546875,-80.2661132812,38.9410400391,-80.2551269531,38.9410400391,-80.2661132812,1
dnzj9z,38.9739990234,-80.068359375,38.9739990234,-80.0793457031,38.9794921875,-80.068359375,38.9794921875,-80.0793457031,1
dnzjc9,38.9849853516,-80.0793457031,38.9849853516,-80.0903320312,38.9904785156,-80.0793457031,38.9904785156,-80.0903320312,1
dnzjp5,38.8641357422,-79.8376464844,38.8641357422,-79.8486328125,38.8696289062,-79.8376464844,38.8696289062,-79.8486328125,1
dnzjqy,38.9245605469,-79.8486328125,38.9245605469,-79.8596191406,38.9300537109,-79.8486328125,38.9300537109,-79.8596191406,1
dnzjrj,38.9190673828,-79.8376464844,38.9190673828,-79.8486328125,38.9245605469,-79.8376464844,38.9245605469,-79.8486328125,1
dnzjs6,38.9465332031,-79.9584960938,38.9465332031,-79.9694824219,38.9520263672,-79.9584960938,38.9520263672,-79.9694824219,1
dnzjs9,38.9410400391,-79.9475097656,38.9410400391,-79.9584960938,38.9465332031,-79.9475097656,38.9465332031,-79.9584960938,1
dnzjsx,38.9739990234,-79.9475097656,38.9739990234,-79.9584960938,38.9794921875,-79.9475097656,38.9794921875,-79.9584960938,1
dnzjzy,39.0124511719,-79.8046875,39.0124511719,-79.8156738281,39.0179443359,-79.8046875,39.0179443359,-79.8156738281,1
dnzkc9,38.8092041016,-79.7277832031,38.8092041016,-79.7387695312,38.8146972656,-79.7277832031,38.8146972656,-79.7387695312,1
dnzmhx,38.8861083984,-79.5959472656,38.8861083984,-79.6069335938,38.8916015625,-79.5959472656,38.8916015625,-79.6069335938,1
dnzmps,38.8696289062,-79.4641113281,38.8696289062,-79.4750976562,38.8751220703,-79.4641113281,38.8751220703,-79.4750976562,1
dnzmqg,38.9080810547,-79.4970703125,38.9080810547,-79.5080566406,38.9135742188,-79.4970703125,38.9135742188,-79.5080566406,1
dnzmwv,38.9630126953,-79.4970703125,38.9630126953,-79.5080566406,38.9685058594,-79.4970703125,38.9685058594,-79.5080566406,1
dnzmz1,38.9849853516,-79.4860839844,38.9849853516,-79.4970703125,38.9904785156,-79.4860839844,38.9904785156,-79.4970703125,1
dnzmz2,38.9794921875,-79.4750976562,38.9794921875,-79.4860839844,38.9849853516,-79.4750976562,38.9849853516,-79.4860839844,1
dnzmzd,38.9904785156,-79.4641113281,38.9904785156,-79.4750976562,38.9959716797,-79.4641113281,38.9959716797,-79.4750976562,1
dnyvvs,39.0014648438,-80.2551269531,39.0014648438,-80.2661132812,39.0069580078,-80.2551269531,39.0069580078,-80.2661132812,1
dnyunt,38.6993408203,-80.2111816406,38.6993408203,-80.2221679688,38.7048339844,-80.2111816406,38.7048339844,-80.2221679688,1
dnyvm0,38.8916015625,-80.2770996094,38.8916015625,-80.2880859375,38.8970947266,-80.2770996094,38.8970947266,-80.2880859375,1
dnyhub,38.8037109375,-81.3427734375,38.8037109375,-81.3537597656,38.8092041016,-81.3427734375,38.8092041016,-81.3537597656,1
dnye5u,38.5180664062,-80.68359375,38.5180664062,-80.6945800781,38.5235595703,-80.68359375,38.5235595703,-80.6945800781,1
dnye7v,38.5675048828,-80.68359375,38.5675048828,-80.6945800781,38.5729980469,-80.68359375,38.5729980469,-80.6945800781,1
dnyecj,38.6553955078,-80.8044433594,38.6553955078,-80.8154296875,38.6608886719,-80.8044433594,38.6608886719,-80.8154296875,1
dnyedq,38.6169433594,-80.7495117188,38.6169433594,-80.7604980469,38.6224365234,-80.7495117188,38.6224365234,-80.7604980469,1
dnyfn6,38.3312988281,-80.2221679688,38.3312988281,-80.2331542969,38.3367919922,-80.2221679688,38.3367919922,-80.2331542969,1
dnyfux,38.4906005859,-80.2990722656,38.4906005859,-80.3100585938,38.49609375,-80.2990722656,38.49609375,-80.3100585938,1
dnyh7c,38.7213134766,-81.38671875,38.7213134766,-81.3977050781,38.7268066406,-81.38671875,38.7268066406,-81.3977050781,1
dnyhs9,38.7652587891,-81.3537597656,38.7652587891,-81.3647460938,38.7707519531,-81.3537597656,38.7707519531,-81.3647460938,1
dnyhsu,38.7817382812,-81.3427734375,38.7817382812,-81.3537597656,38.7872314453,-81.3427734375,38.7872314453,-81.3537597656,1
dnyhty,38.7927246094,-81.298828125,38.7927246094,-81.3098144531,38.7982177734,-81.298828125,38.7982177734,-81.3098144531,1
dnyj24,38.9025878906,-81.5515136719,38.9025878906,-81.5625,38.9080810547,-81.5515136719,38.9080810547,-81.5625,1
dnye43,38.5015869141,-80.7495117188,38.5015869141,-80.7604980469,38.5070800781,-80.7495117188,38.5070800781,-80.7604980469,1
dnyjug,38.9959716797,-81.3427734375,38.9959716797,-81.3537597656,39.0014648438,-81.3427734375,39.0014648438,-81.3537597656,1
dnyk2z,38.7542724609,-81.1669921875,38.7542724609,-81.1779785156,38.759765625,-81.1669921875,38.759765625,-81.1779785156,1
dnymvb,38.9794921875,-80.947265625,38.9794921875,-80.9582519531,38.9849853516,-80.947265625,38.9849853516,-80.9582519531,1
dnymxp,38.9739990234,-80.8923339844,38.9739990234,-80.9033203125,38.9794921875,-80.8923339844,38.9794921875,-80.9033203125,1
dnyn27,39.0838623047,-81.5405273438,39.0838623047,-81.5515136719,39.0893554688,-81.5405273438,39.0893554688,-81.5515136719,1
dnyn2k,39.0893554688,-81.5405273438,39.0893554688,-81.5515136719,39.0948486328,-81.5405273438,39.0948486328,-81.5515136719,1
dnynbs,39.1772460938,-81.5295410156,39.1772460938,-81.5405273438,39.1827392578,-81.5295410156,39.1827392578,-81.5405273438,1
dnynen,39.1442871094,-81.4196777344,39.1442871094,-81.4306640625,39.1497802734,-81.4196777344,39.1497802734,-81.4306640625,1
dnynfx,39.1937255859,-81.4416503906,39.1937255859,-81.4526367188,39.19921875,-81.4416503906,39.19921875,-81.4526367188,1
