LAT,LONG,CRTSRoadsI,Bridgesect,SECTnum,DATE_CC_OR,COUNTY,COUNTYNUM,signsystem,routenum,BEGINMP,subroute,supplement,FROMtermin,ENDMP,TOtermini,LENGTH,ROUTEID,LOC_ERROR,LabelRt,LabelSRt,Search,Shape_len
37.77387203727157,-82.23339102753688,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77385298540277,-82.23321499320372,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77382703834335,-82.23303198454268,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77380402543945,-82.23284901310852,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77376901451013,-82.23267398140064,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77373099579979,-82.23249795813845,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77369698903758,-82.2323230480752,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77365501035273,-82.23213998329165,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77361296575845,-82.23197202095388,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
37.77356697239465,-82.23179597072988,327,MINGO19,19,2003/12/31,MINGO,30,2,0119,11.82,00,00,JCT WV 65,21.15,Logan CL,9.33,30201190000,NO ERROR,119,,119,29907.5
